ET	Runoff	Baseflow	CROP_SOIL_MOIST	EVAP_SOIL	date	cell
419.0159	98.9066	72.834	187598.2706	119.1662	1/1/2000	461411652_CC
405.486	71.902	71.7398	172491.4324	128.3424	1/1/2001	461411652_CC
419.4267	64.0614	66.1227	168758.2545	124.693	1/1/2002	461411652_CC
398.5076	91.9037	67.1431	170215.9961	102.5355	1/1/2003	461411652_CC
463.0993	92.6243	63.6976	170927.8164	139.9002	1/1/2004	461411652_CC
399.1772	84.675	60.8041	172262.9453	135.36	1/1/2005	461411652_CC
407.976	82.3485	59.3423	171424.9269	109.1906	1/1/2006	461411652_CC
402.6438	50.56	55.6973	162152.1811	109.5457	1/1/2007	461411652_CC
440.2372	55.0529	51.283	155457.112	93.6383	1/1/2008	461411652_CC
419.4072	80.286	50.3545	173878.505	102.6565	1/1/2009	461411652_CC
428.9011	99.1363	49.6887	180739.0862	121.5676	1/1/2010	461411652_CC
431.7823	41.7969	122.3766	138297.508	131.8112	1/1/1981	463911781_CC
415.4808	50.3746	138.0328	131286.7676	127.6564	1/1/1982	463911781_CC
426.2897	45.7701	143.77	133206.1997	143.6273	1/1/1983	463911781_CC
426.4976	50.9115	146.1806	144024.9964	114.0136	1/1/1984	463911781_CC
386.3986	30.9123	144.9317	130292.9623	106.0897	1/1/1985	463911781_CC
382.6654	45.9119	145.1618	129903.0017	121.0777	1/1/1986	463911781_CC
448.6954	21.5814	139.2837	112251.2151	154.5386	1/1/1987	463911781_CC
439.6273	28.0819	119.9872	107265.4595	138.2211	1/1/1988	463911781_CC
399.4433	37.3661	111.3051	125627.8523	113.7163	1/1/1989	463911781_CC
417.534	36.7418	102.23	132208.4929	118.9782	1/1/1990	463911781_CC
432.0488	41.9402	103.4022	135911.7547	132.5005	1/1/1991	463911781_CC
405.7221	26.4086	98.1582	125218.7074	123.7602	1/1/1992	463911781_CC
428.6664	37.1227	97.3702	132781.5113	137.2036	1/1/1993	463911781_CC
411.6432	35.9836	88.8614	121485.0249	131.355	1/1/1994	463911781_CC
435.9485	51.4935	104.4383	138837.9678	129.7337	1/1/1995	463911781_CC
437.4765	70.3933	138.5748	136663.7637	105.3437	1/1/1996	463911781_CC
421.1486	65.2872	146.2259	164880.2434	132.878	1/1/1997	463911781_CC
440.4417	47.5162	146.1594	141036.0379	138.4072	1/1/1998	463911781_CC
374.4391	45.3866	146.2067	144058.4203	104.3852	1/1/1999	463911781_CC
450.834	41.2505	146.4191	137528.671	123.0334	1/1/2000	463911781_CC
417.7758	32.8062	140.7538	124465.6841	133.9391	1/1/2001	463911781_CC
407.5735	27.592	134.6897	117866.5022	134.0666	1/1/2002	463911781_CC
383.4088	37.6334	130.4751	120459.7307	93.5759	1/1/2003	463911781_CC
434.7345	33.5979	120.3706	123810.9103	125.4463	1/1/2004	463911781_CC
435.2732	25.715	97.6336	111475.0728	136.2364	1/1/2005	463911781_CC
382.047	45.7661	103.0958	129438.6154	99.9459	1/1/2006	463911781_CC
411.739	28.3672	109.8521	120499.941	121.5498	1/1/2007	463911781_CC
440.4776	31.9514	99.2714	125793.3485	111.307	1/1/2008	463911781_CC
396.3528	54.5078	127.2353	130365.3648	126.7992	1/1/2009	463911781_CC
462.9139	45.2238	122.2769	137888.0717	126.8691	1/1/2010	463911781_CC
458.1316	75.6396	56.3362	131487.4593	135.7634	1/1/1981	464711710_CC
413.064	90.2393	68.7003	131245.4064	118.566	1/1/1982	464711710_CC
423.7302	89.8207	72.3196	145028.4281	134.8241	1/1/1983	464711710_CC
427.9857	109.1511	72.834	161834.5803	111.3592	1/1/1984	464711710_CC
409.2066	63.2206	72.635	146305.8277	95.6748	1/1/1985	464711710_CC
397.3728	95.1326	72.635	149806.6681	120.9583	1/1/1986	464711710_CC
438.2925	49.5638	72.635	123829.1046	148.5029	1/1/1987	464711710_CC
431.9648	50.4937	68.2061	109744.0206	145.8335	1/1/1988	464711710_CC
425.5057	67.9585	63.9053	126506.232	122.492	1/1/1989	464711710_CC
437.0981	76.9827	64.9463	134313.5234	116.4281	1/1/1990	464711710_CC
446.4989	68.5703	67.8253	129779.4761	126.742	1/1/1991	464711710_CC
428.5508	45.3992	62.2456	119207.0247	138.2216	1/1/1992	464711710_CC
445.4142	65.022	59.7721	126218.3311	140.2046	1/1/1993	464711710_CC
435.3043	53.8026	55.9495	112042.5831	137.9466	1/1/1994	464711710_CC
432.2446	95.8292	57.5633	137982.3413	129.8051	1/1/1995	464711710_CC
426.9267	153.5786	72.1189	160106.1619	102.4539	1/1/1996	464711710_CC
470.9294	169.5267	72.635	196019.5293	133.0265	1/1/1997	464711710_CC
459.7132	129.8894	72.635	172727.3874	135.3527	1/1/1998	464711710_CC
435.7012	123.6854	72.635	180272.858	105.042	1/1/1999	464711710_CC
468.5049	97.8007	72.834	164209.5993	114.6583	1/1/2000	464711710_CC
451.7656	53.2487	72.5922	125311.0965	131.8685	1/1/2001	464711710_CC
434.2291	54.393	70.614	120611.8807	124.5351	1/1/2002	464711710_CC
404.4335	74.3172	71.5059	124034.0519	101.2472	1/1/2003	464711710_CC
436.9898	68.6885	68.4577	127903.7679	129.2616	1/1/2004	464711710_CC
444.4832	56.8226	61.6579	122133.1161	133.8945	1/1/2005	464711710_CC
408.5752	77.5985	63.6746	128271.6934	107.2011	1/1/2006	464711710_CC
414.7923	48.9929	67.6487	118121.3433	112.5972	1/1/2007	464711710_CC
418.4608	62.0318	64.6448	126188.0618	103.209	1/1/2008	464711710_CC
394.2814	93.6407	71.7843	137730.0333	122.0386	1/1/2009	464711710_CC
462.0832	82.4008	71.9147	134747.4205	121.4279	1/1/2010	464711710_CC
466.8285	81.3749	53.6695	153094.3176	138.9446	1/1/1981	469711710_CC
419.5676	98.2883	61.8698	150322.433	112.5817	1/1/1982	469711710_CC
444.1616	92.62	70.2804	154660.5417	148.6096	1/1/1983	469711710_CC
453.8592	95.7312	72.4251	163605.9583	123.7063	1/1/1984	469711710_CC
407.2598	57.3544	71.6849	149688.5709	94.7119	1/1/1985	469711710_CC
437.4677	81.1564	71.5071	149680.6414	124.6169	1/1/1986	469711710_CC
443.5966	46.9437	66.5367	134465.7557	143.2827	1/1/1987	469711710_CC
451.5944	58.4152	60.5975	133253.0098	151.5132	1/1/1988	469711710_CC
415.9357	74.0191	56.5544	147499.8658	115.1349	1/1/1989	469711710_CC
478.9893	85.5444	56.8863	157016.5255	119.2993	1/1/1990	469711710_CC
439.2906	77.7588	60.8091	149687.1369	137.0647	1/1/1991	469711710_CC
419.4866	50.8095	57.7707	138805.2224	130.2323	1/1/1992	469711710_CC
466.615	72.7587	55.053	147489.9309	136.3383	1/1/1993	469711710_CC
442.1336	57.0614	51.6186	134137.4848	121.9946	1/1/1994	469711710_CC
426.7482	99.7964	52.8419	156637.9573	133.5837	1/1/1995	469711710_CC
450.3246	143.815	69.8286	158863.253	108.9323	1/1/1996	469711710_CC
482.4612	139.8657	72.609	196707.3736	135.3202	1/1/1997	469711710_CC
470.2128	114.3269	72.635	172734.2065	125.9653	1/1/1998	469711710_CC
404.2419	111.523	72.635	185417.0233	100.8333	1/1/1999	469711710_CC
480.925	95.6132	72.834	172183.5626	122.5577	1/1/2000	469711710_CC
441.0607	55.0542	70.9769	137743.1215	125.7106	1/1/2001	469711710_CC
426.0495	57.0849	66.2796	142981.6123	115.4566	1/1/2002	469711710_CC
392.7821	78.636	68.5366	142799.6152	105.1704	1/1/2003	469711710_CC
449.5141	73.1835	64.3746	146757.2928	134.6706	1/1/2004	469711710_CC
447.3946	65.2036	58.9985	143533.7179	137.1779	1/1/2005	469711710_CC
411.9743	86.5428	61.7722	149550.9748	101.503	1/1/2006	469711710_CC
431.4594	51.5601	62.9806	140877.085	110.7774	1/1/2007	469711710_CC
441.3661	58.4346	59.2309	142707.1943	104.9974	1/1/2008	469711710_CC
435.6183	83.7552	62.0246	148531.0114	126.9814	1/1/2009	469711710_CC
476.6526	74.4247	59.5453	144093.2005	128.3432	1/1/2010	469711710_CC
428.9224	45.2798	38.6175	119151.4833	137.8898	1/1/1981	468511764_CCF
411.1859	55.2663	36.4536	115359.3143	105.1035	1/1/1982	468511764_CCF
411.305	53.4244	35.9022	118327.925	139.7741	1/1/1983	468511764_CCF
417.0661	50.6599	34.6316	118165.3783	123.364	1/1/1984	468511764_CCF
353.8169	28.7708	31.9704	103315.6916	87.6725	1/1/1985	468511764_CCF
377.2473	34.6587	28.7236	102388.5136	107.0609	1/1/1986	468511764_CCF
378.4308	19.8913	22.4593	86816.257	122.8417	1/1/1987	468511764_CCF
341.4001	23.1857	6.7902	82190.5869	139.9745	1/1/1988	468511764_CCF
340.063	31.1419	0.0065	95825.627	107.1845	1/1/1989	468511764_CCF
356.3676	29.3316	0	96072.7366	121.2962	1/1/1990	468511764_CCF
389.6141	31.8452	0.0094	97289.8444	139.4293	1/1/1991	468511764_CCF
296.6198	22.5206	0	91280.6693	100.2575	1/1/1992	468511764_CCF
384.5116	32.0753	0.0069	98878.5204	131.2621	1/1/1993	468511764_CCF
298.2986	28.6247	0	89939.4734	117.3318	1/1/1994	468511764_CCF
397.5573	52.1779	4.912	117808.9988	135.7593	1/1/1995	468511764_CCF
424.6681	77.0609	18.7985	123278.472	106.6424	1/1/1996	468511764_CCF
402.1779	50.3207	29.7455	119426.6592	130.909	1/1/1997	468511764_CCF
402.1313	39.3817	28.9153	98366.5287	124.0551	1/1/1998	468511764_CCF
358.7854	36.3751	26.563	106127.415	93.1668	1/1/1999	468511764_CCF
